item_id	title	year	latitude	longitude
60330579	De humanae ratiocinationis imbecillitate ..	1700	51.339620	12.371292
60330583	Disputatio philosophica de usu et abusu terminorum technicorum  in philosophia	1700	51.339620	12.371292
60330584	Praecepta logicae peripateticae	1700	51.339620	12.371292
60330585	Curieuse Fragen über die Logica	1700	51.339620	12.371292
60330586	An abridgment of Locke's Essay ..	1700	51.508529	-0.125742
60330580	De la Recherche de la Vérité	1700	48.853410	2.348800
60330581	Exercitationes scholasticae in varias partes philosophicae	1700	48.853410	2.348800
60330582	Institutio philosophica	1700	48.853410	2.348800
60330599	Manuale logicum	1701	51.339620	12.371292
60330602	Praxis logica seu usus manualis logici Scharfiani  practicus	1701	51.339620	12.371292
60330593	De intellectu humano	1701	51.508529	-0.125742
60330587	Philosophia Scoti .. vindicata	1701	45.438611	12.326667
60330588	Structurae logicae ad categorias Porphyrianas ..	1701	50.809044	8.770694
60330589	De iudicio contradictionis	1701	50.809044	8.770694
60330590	Logica contracta	1701	53.185465	5.541229
60330591	Cursus philosophicus iuxta mentem J. Bacconii Carmelitae	1701	41.894738	12.483902
60330592	Philosophia vindicata ab erroribus philosophorum  gentilium iuxta doctrinam .. P. Augustini	1701	41.894738	12.483902
60330601	Magistri Fr; Henrici Gandavensis philosophica tripartitio doctrinarum  et rationum	1701	41.894738	12.483902
60330594	Organum Aristotelicum ..	1701	47.799406	13.043990
60330595	Philosophia aulica	1701	50.088043	14.420757
60330596	Paradoxa logica	1701	51.812222	12.805278
60330597	Problema de analysi logica	1701	54.088698	12.140493
60330598	Logica demonstrativa	1701	45.184464	9.161452
60330600	Philosophiae rationalis fundamenta	1701	51.500000	12.000000
60330620	Ars cogitandi	1702	51.339620	12.371292
60330605	Logic or the art of thinking	1702	51.508529	-0.125742
60330607	Logica contracta	1702	50.809044	8.770694
60330614	Philosophia mentis et sensuum	1702	41.894738	12.483902
60330618	Philosophia aristotelica	1702	50.088043	14.420757
60330610	De logices usu	1702	54.088698	12.140493
60330603	Dialectica nova ..	1702	49.755653	6.639347
60330604	Logica sive ars cogitandi	1702	52.158333	4.493056
60330611	Compendium logicae	1702	49.454205	11.077523
60330612	Medulla logices Scharfio-Mitternachtiana	1702	51.149871	11.809792
60330613	Élemens de la philosophie moderne	1702	52.374027	4.889688
60330617	Discussio censurae Huetianae	1702	52.374027	4.889688
60330615	Compendium logices	1702	48.782324	9.177017
60330616	Logica positiva sive dialectica et analytica	1702	52.227905	11.009846
60330621	Institutio logicae	1702	51.752221	-1.255960
60330622	Memoriale philosophiae in via thomistica	1702	54.352054	18.646374
60330608	Philosophia ad usum scholae accommodata	1702	48.853410	2.348800
60330609	Voyage du monde de Descartes	1702	48.853410	2.348800
60330606	Introductio ad historiam philosophiae Ebraeorum	1702	51.500000	12.000000
60330619	Introductio ad philosophiam aulicam	1702	51.500000	12.000000
60330626	Pharus intellectus sive logica electiva	1703	51.339620	12.371292
60330625	Phosphorus philosophicus auctior seu logica contracta Claubergiana  illustrata	1703	52.374027	4.889688
60330624	Manductio ad logicam	1703	49.984188	8.279096
60330627	Clypeus philosophiae thomisticae	1703	44.840439	-0.580500
60330628	Florilegium argumentorum	1703	45.581381	9.941362
60330629	Cursus philosophicus	1703	45.581381	9.941362
60330631	Distinctiones et axiomata philosophica	1703	45.581381	9.941362
60330630	Dialectica et Analytica	1703	52.524368	13.410530
60330634	Opera philosophica	1703	52.524368	13.410530
60330632	Logica vetus et nova	1703	50.115520	8.684167
60330633	Introductio in dialecticam Cabbaleorum ..	1703	52.265939	10.526726
60330623	Elementa philosophiae instrumentalis	1703	51.500000	12.000000
60330635	Introductio ad philosophiam aulicam	1703	51.500000	12.000000
60330647	Demonstratio de certitudine sensuum	1704	51.339620	12.371292
60330651	Disputatio philosophica de eo, quod omnes ideae oriantur a  sensione	1704	51.339620	12.371292
60330652	Disputatio philosophica de novis ratiocinandi adminiculis .. sine syllogismorum  cognitione ..	1704	51.339620	12.371292
60330653	Vademecum sive manuale philosophicum	1704	51.339620	12.371292
60330655	Doctrina logica	1704	51.339620	12.371292
60330640	Philosophia vetus et nova	1704	45.438611	12.326667
60330639	Opera philosophica	1704	52.374027	4.889688
60330645	De logices abusu	1704	52.227905	11.009846
60330654	Compendium philosophiae	1704	52.227905	11.009846
60330636	Artis logicae compendium	1704	51.752221	-1.255960
60330642	Philosophia iuxta inconcussa .. Thomae dogmata	1704	45.581381	9.941362
60330646	Medicina mentis . .	1704	52.524368	13.410530
60330643	Gründliche Anweisung zur Logica vor Adeliche ..	1704	51.180350	14.434941
60330644	Topica in nuce	1704	51.180350	14.434941
60330648	Cursus philosophicus sive compendium praecipuarum scientiarum  philosophicarum	1704	54.706493	20.510951
60330649	Primitiae professionis logico-metaphysicae sive commentarii in libros categoriarum  Aristotelis	1704	54.706493	20.510951
60330650	Philosophia peripatetica	1704	49.787778	9.936111
60330641	Philosophus in utramque partem	1704	48.853410	2.348800
60330637	Logica sice ars cogitandi	1704	51.500000	12.000000
60330638	Elementa philosophiae instrumentalis	1704	51.500000	12.000000
60330667	Philosophia instrumentalis	1705	51.339620	12.371292
60330668	Erotemata logica	1705	51.339620	12.371292
60330657	The art of criticism	1705	51.508529	-0.125742
60330664	Institutionum logicarum epitome	1705	53.185465	5.541229
60330659	Renatus Des Cartes ses bedenkingen van d'eerste wijsbegeerte	1705	52.374027	4.889688
60330663	Cursus philosophicus	1705	45.581381	9.941362
60330658	Tentamen logicum . .	1705	46.948094	7.447443
60330661	Summa philosophiae scholasticae et scotisticae	1705	45.415194	11.881808
60330662	Lapis offensionis .. Joh. Duns Scoti	1705	48.366667	10.883333
60330656	La manière de bien penser	1705	48.853410	2.348800
60330660	Philosophia universa	1705	48.853410	2.348800
60330665	Einleitung zu der Vernunft-Lehre	1705	51.500000	12.000000
60330666	Ausübung der Vernunft-Lehre	1705	51.500000	12.000000
60330678	Nucleus logicae	1706	51.339620	12.371292
60330672	An Essay concerning humane understanding	1706	51.508529	-0.125742
60330676	Philosophia vera, theologiae et medicinae ministra	1706	45.581381	9.941362
60330669	Philosophia thomistica Salisburgensis ..	1706	48.366667	10.883333
60330675	Synopsis logicae	1706	48.366667	10.883333
